"Country","Country_code","Year","Sex","Age_group","Obesity_prevalence","Lower_CI","Upper_CI","Source","Age_group_label","Obesity_burden_quartile"
"Albania","ALB",1990,"Female","Y10T19",1.2754322,0.35088342,3.0623777,"https://data.who.int/indicators/i/C6262EC/EF93DDB","10–19 years","Low"
"Albania","ALB",1990,"Female","Y5T19",1.6863205,0.49356376,3.8883641,"https://data.who.int/indicators/i/C6262EC/EF93DDB","5–19 years","Low"
"Albania","ALB",1990,"Female","Y5T9",2.4531839,0.73970961,5.5384599,"https://data.who.int/indicators/i/C6262EC/EF93DDB","5–9 years","Low"
"Albania","ALB",1990,"Male","Y10T19",2.2396337,0.65920325,5.2414209,"https://data.who.int/indicators/i/C6262EC/EF93DDB","10–19 years","Low"
"Albania","ALB",1990,"Male","Y5T19",3.3209782,1.0856197,7.4899055,"https://data.who.int/indicators/i/C6262EC/EF93DDB","5–19 years","Low"
"Albania","ALB",1990,"Male","Y5T9",5.288811,1.7784679,11.455081,"https://data.who.int/indicators/i/C6262EC/EF93DDB","5–9 years","Moderate"
"Albania","ALB",1990,"Total","Y10T19",1.7660497,0.74634724,3.4906264,"https://data.who.int/indicators/i/C6262EC/EF93DDB","10–19 years","Low"
"Albania","ALB",1990,"Total","Y5T19",2.5217179,1.1004112,4.7886923,"https://data.who.int/indicators/i/C6262EC/EF93DDB","5–19 years","Low"
"Albania","ALB",1990,"Total","Y5T9",3.9139409,1.7554382,7.2608851,"https://data.who.int/indicators/i/C6262EC/EF93DDB","5–9 years","Low"
"Albania","ALB",1991,"Female","Y10T19",1.3239576,0.3925445,3.0464822,"https://data.who.int/indicators/i/C6262EC/EF93DDB","10–19 years","Low"
"Albania","ALB",1991,"Female","Y5T19",1.7507095,0.5451099,3.9309252,"https://data.who.int/indicators/i/C6262EC/EF93DDB","5–19 years","Low"
"Albania","ALB",1991,"Female","Y5T9",2.5389455,0.80915131,5.5689536,"https://data.who.int/indicators/i/C6262EC/EF93DDB","5–9 years","Low"
"Albania","ALB",1991,"Male","Y10T19",2.3298193,0.73845158,5.3692315,"https://data.who.int/indicators/i/C6262EC/EF93DDB","10–19 years","Low"
"Albania","ALB",1991,"Male","Y5T19",3.4563385,1.1857641,7.5498335,"https://data.who.int/indicators/i/C6262EC/EF93DDB","5–19 years","Low"
"Albania","ALB",1991,"Male","Y5T9",5.4629378,1.9197553,11.492842,"https://data.who.int/indicators/i/C6262EC/EF93DDB","5–9 years","Moderate"
"Albania","ALB",1991,"Total","Y10T19",1.8319763,0.81297457,3.509748,"https://data.who.int/indicators/i/C6262EC/EF93DDB","10–19 years","Low"
"Albania","ALB",1991,"Total","Y5T19",2.6176494,1.1976252,4.9004771,"https://data.who.int/indicators/i/C6262EC/EF93DDB","5–19 years","Low"
"Albania","ALB",1991,"Total","Y5T9",4.0422466,1.8943164,7.40624,"https://data.who.int/indicators/i/C6262EC/EF93DDB","5–9 years","Moderate"
"Albania","ALB",1992,"Female","Y10T19",1.3759292,0.43422962,3.1115774,"https://data.who.int/indicators/i/C6262EC/EF93DDB","10–19 years","Low"
"Albania","ALB",1992,"Female","Y5T19",1.8171612,0.60945237,3.9778456,"https://data.who.int/indicators/i/C6262EC/EF93DDB","5–19 years","Low"
"Albania","ALB",1992,"Female","Y5T9",2.6283175,0.89655127,5.6082204,"https://data.who.int/indicators/i/C6262EC/EF93DDB","5–9 years","Low"
"Albania","ALB",1992,"Male","Y10T19",2.4295695,0.80749122,5.3454611,"https://data.who.int/indicators/i/C6262EC/EF93DDB","10–19 years","Low"
"Albania","ALB",1992,"Male","Y5T19",3.5977595,1.2958043,7.6324619,"https://data.who.int/indicators/i/C6262EC/EF93DDB","5–19 years","Low"
"Albania","ALB",1992,"Male","Y5T9",5.6433897,2.0939898,11.622581,"https://data.who.int/indicators/i/C6262EC/EF93DDB","5–9 years","Moderate"
